drugid,state,year,datavalue,crimedata
227,VA,2016,14327,174714
228,VA,2017,17070,169487
229,VA,2018,17155,158917
230,VA,2019,17822,157966
231,VT,2015,1094,9545
232,VT,2016,1363,11591
233,VT,2017,1633,9994
234,VT,2018,1614,9113
235,VT,2019,1615,10150
236,WA,2015,12643,268763
237,WA,2016,13830,276676
238,WA,2017,13223,257575
239,WA,2018,14024,245483
240,WA,2019,14446,226601
241,WI,2015,10378,131571
242,WI,2016,11926,129399
243,WI,2017,13577,123341
244,WI,2018,13474,107862
245,WI,2019,13617,102742
246,WV,2015,8230,43482
247,WV,2016,9617,44044
248,WV,2017,11836,39998
249,WV,2018,10965,32063
250,WV,2019,10079,34050
251,WY,2015,1229,12453
252,WY,2016,1138,12890
253,WY,2017,871,11980
254,WY,2018,763,11539
255,WY,2019,797,10351
